dose_ppm_hr,concentration_ppm,duration_hours,temp_c,rh_pct,r,g,b,L,a,b_lab,delta_e,delta_e_env,correction_residual,brightness,blur_score
59.004,25.194,2.34,30.9,47.3,61.0,51.82,34.29,22.1212,1.0334,12.6162,61.4404,5.0863,8.161,200.07,765.46
7.686,1.036,7.42,26.5,48.6,185.03,171.13,136.79,70.381,-0.4586,19.5269,10.923,4.0985,7.465,222.95,726.8
7.383,7.258,1.02,22.4,81.3,175.38,165.54,145.09,68.2499,0.0698,11.8806,13.3592,6.0365,6.174,181.8,145.17
10.638,5.492,1.94,37.1,44.1,154.32,143.99,119.65,60.0622,-0.2789,14.3369,19.4602,5.845,0.984,201.11,845.65
10.041,1.343,7.48,33.8,57.5,145.38,139.62,116.49,58.0113,-1.9031,13.1531,21.3006,6.3699,10.334,216.76,727.43
78.293,24.14,3.24,27.3,82.7,46.33,42.21,15.58,16.9673,-2.5253,17.6984,68.3892,8.2246,10.292,202.45,109.35
4.905,0.971,5.05,18.2,41.0,200.28,191.42,163.2,77.5272,-1.5535,15.3654,6.0156,1.465,1.258,214.81,172.18
58.374,34.883,1.67,31.6,51.4,53.28,43.35,37.21,18.5976,3.3828,5.6988,67.1859,3.6914,3.277,189.36,170.31
9.431,1.45,6.5,30.4,62.7,153.86,144.98,122.5,60.3551,-0.5678,13.1305,19.3114,4.709,0.505,178.88,643.94
82.401,10.796,7.63,26.4,53.9,48.57,43.54,26.97,17.8684,-0.7936,11.6205,67.3491,6.2677,6.534,180.02,165.27
83.962,36.138,2.32,21.6,51.6,56.9,49.11,32.16,20.744,0.468,12.1181,63.378,4.0111,6.177,176.39,84.54
3.165,0.795,3.98,32.2,50.9,202.44,188.5,159.8,76.8805,0.2893,16.3126,6.6113,6.6888,5.624,214.59,92.11
6.338,1.062,5.97,30.6,84.8,177.19,163.36,137.04,67.6515,0.7085,15.5064,13.4014,4.8998,0.511,209.16,726.23
53.717,27.848,1.93,26.2,68.5,68.03,56.38,45.8,24.6105,3.2241,8.5275,58.5018,3.5373,1.528,169.35,533.31
8.468,4.251,1.99,25.6,63.4,178.67,162.77,133.68,67.5548,1.116,17.2423,13.4489,3.7237,7.533,221.56,236.55
5.513,1.328,4.15,30.7,51.6,189.48,176.08,151.67,72.375,0.7735,14.2482,10.1504,5.7094,1.436,211.46,728.57
34.276,9.379,3.65,34.0,46.9,92.2,80.89,66.22,35.1038,2.0652,10.3593,44.8516,5.4007,5.436,188.28,133.79
4.9,3.443,1.42,25.8,69.1,194.82,182.84,152.75,74.6166,-0.6371,16.8597,7.8632,3.8208,0.638,215.42,715.39
16.769,4.016,4.18,33.1,53.3,111.45,103.1,82.75,43.8725,-0.2949,12.693,34.7668,6.5356,5.963,182.3,105.22
8.47,6.842,1.24,21.8,36.9,196.17,171.3,144.59,71.5768,4.8837,17.0845,12.513,2.8276,7.393,207.98,73.26
10.219,3.41,3.0,28.8,41.7,159.78,143.12,129.81,60.5503,3.955,9.3462,21.1571,7.2297,7.852,209.63,242.17
99.207,22.813,4.35,27.1,38.0,46.55,38.16,35.35,16.0741,3.3469,3.32,70.7247,1.8294,6.987,204.03,883.99
5.21,1.936,2.69,21.7,70.3,190.8,183.02,155.66,74.3912,-1.8181,14.9206,8.2513,3.3382,4.261,215.91,218.43
16.97,2.461,6.9,37.0,59.3,112.48,103.16,84.68,44.0302,0.417,11.7762,34.7235,7.1338,6.686,197.38,239.32
10.57,1.428,7.4,31.9,47.8,165.49,145.97,121.25,61.6445,3.323,15.7907,18.8968,4.9038,7.587,200.77,567.3
10.285,3.147,3.27,31.1,75.5,158.17,141.24,125.14,59.7921,3.6333,10.9055,21.2263,10.2826,8.279,215.64,189.08
75.395,14.592,5.17,34.3,53.9,41.01,44.64,38.12,17.7441,-3.1438,3.6785,68.2437,4.2825,7.159,203.16,116.24
82.007,25.605,3.2,34.7,43.2,55.1,37.09,38.44,16.9256,8.7839,2.5,71.0007,5.763,5.453,191.83,712.58
6.189,3.603,1.72,20.9,40.1,186.35,177.55,151.34,72.4894,-1.2489,14.5453,9.645,2.8781,3.187,184.65,562.96
8.19,3.004,2.73,31.1,49.4,186.41,164.32,137.08,68.7262,3.8025,17.1037,13.6989,3.3388,8.55,220.76,827.1
4.698,0.863,5.45,30.6,62.3,193.19,183.67,148.59,74.6125,-2.3088,19.0758,7.7326,4.221,0.532,195.97,79.87
96.494,20.669,4.67,37.3,54.5,47.91,41.48,30.73,17.1943,0.871,8.1374,68.4972,6.7769,4.576,194.78,701.48
51.435,16.879,3.05,35.2,81.9,52.63,41.71,32.8,17.8788,3.4281,7.7359,67.9376,5.6752,5.157,201.78,190.6
